,Track_ID,Track_Name,Popularity,Artist_Name,Artist_Popularity,Album_Type,Album_Total_Tracks,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence,Release_Year
20,2qYsSHsYkihWx043HVJQRV,Dirt Road Anthem,71,Jason Aldean,80,album,15,0.347,0.68,0.741,1.87e-06,2,0.117,-5.055,1,0.0357,127.024,4,0.635,2010
21,393MDhe62s8hbH8ETrlxe5,Mr. Rager,75,Kid Cudi,86,album,17,0.389,0.671,0.726,0.882,7,0.14,-8.689,1,0.0272,102.002,4,0.581,2010
22,4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),78,Usher,83,album,22,0.0338,0.663,0.861,0.0,7,0.082,-3.398,0,0.109,119.963,4,0.654,2010
23,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,75,Kanye West,96,album,13,0.0796,0.531,0.803,1.71e-05,1,0.176,-3.284,1,0.0717,142.113,4,0.221,2010
24,22PMfvdz35fFKYnJyMn077,Marry You,73,Bruno Mars,93,album,10,0.332,0.621,0.82,0.0,10,0.104,-4.865,1,0.0367,144.905,4,0.452,2010
25,60IGhnH20N82dNxKnc8jDd,Knee Deep (feat. Jimmy Buffett),71,Zac Brown Band,76,album,14,0.432,0.715,0.584,1.41e-06,8,0.095,-8.231,1,0.0296,90.99,4,0.609,2010
26,1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,77,Gorillaz,83,album,16,0.0869,0.676,0.703,0.000687,8,0.0463,-5.815,0,0.0302,92.761,4,0.852,2010
27,4AYX69oFP3UOS1CFmV9UfO,Bottoms Up (feat. Nicki Minaj),71,Trey Songz,76,album,20,0.0205,0.844,0.601,0.0,1,0.385,-5.283,1,0.157,73.989,4,0.331,2010
28,3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),71,Katy Perry,88,album,12,0.00125,0.652,0.812,3.01e-05,3,0.667,-3.797,0,0.0409,126.023,4,0.72,2010
29,2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,74,Mike Posner,75,album,12,0.179,0.768,0.82,0.0,7,0.689,-4.63,0,0.0474,129.965,4,0.625,2010
30,1fBl642IhJOE5U319Gy2Go,Animal,69,Neon Trees,71,album,8,0.000346,0.482,0.833,0.0,5,0.365,-5.611,1,0.0449,148.039,4,0.74,2010
31,7ySUcLPVX7KudhnmNcgY2D,S&M,76,Rihanna,92,album,13,0.0105,0.769,0.684,0.000125,1,0.0887,-5.019,1,0.0411,127.972,4,0.835,2010
32,1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,72,Miguel,82,album,13,0.856,0.372,0.239,0.000175,6,0.168,-11.314,0,0.0296,113.451,4,0.127,2010
33,2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,75,Don Omar,85,album,14,0.0846,0.4,0.915,0.0,0,0.0503,-4.89,1,0.28,88.917,3,0.878,2010
34,2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),75,Rihanna,92,album,13,0.112,0.789,0.706,1.71e-05,11,0.0586,-4.233,0,0.0429,125.911,4,0.638,2010
35,5jzKL4BDMClWqRguW5qZvh,Teenage Dream,70,Katy Perry,88,album,12,0.0162,0.719,0.798,2.34e-06,10,0.134,-4.582,1,0.0361,120.011,4,0.591,2010
36,59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),73,B.o.B,77,album,12,0.386,0.688,0.853,0.0,10,0.0862,-5.814,1,0.0493,103.993,4,0.743,2010
